Literature & Fiction	0
Humanities	1
Children's Books	2
Humor & Entertainment	3
Christian Books & Bibles	4
Comics & Graphic Novels	5
Mystery, Thriller & Suspense	6
History	7
Romance	8
Science Fiction & Fantasy	9
Science & Math	10
Religion & Spirituality	11
Biographies & Memoirs	12
Self-Help	13
Arts & Photography	14
Politics & Social Sciences	15
Teen & Young Adult	16
Medical Books	17
Engineering & Transportation	18
Parenting & Relationships	19
Medicine & Health Sciences	20
Health, Fitness & Dieting	21
Reference	22
Lesbian, Gay, Bisexual & Transgender Books	23
Cookbooks, Food & Wine	24
Travel	25
Sports & Outdoors	26
Social Sciences	27
Business & Money	28
Crafts, Hobbies & Home	29
Education & Teaching	30
Science & Mathematics	31
Computers & Technology	32
Business & Finance	33
Education	34
